id,row_type,living_bath_tradition_name,country_public_bath_status,public_bathhouse_type,representative_site,use_notes,website_ready_summary,name,country,location,latitude,longitude,heritage_designation,designation_year,heritage_category,period_or_date,architectural_cultural_type,short_description,story,historical_value,intangible_rituals_heritage,key_features,current_condition_access,current_use_category,still_used_for_bathing,visitor_cost_summary,cost_currency,cost_min_numeric,cost_max_numeric,cost_basis,cost_source_url,cost_last_checked,cost_confidence,source_urls,tags
bath-027,living_bathhouse_tradition,Moroccan Hammam Tradition,Active country-level tradition,Maghrebi hammam; neighbourhood steam bath,Moroccan Hammam Tradition,"Yes. Still widely used, though schedules can vary due to water restrictions.","Moroccan hammams remain a living weekly cleansing, social and wellness ritual, especially in old medinas and urban neighbourhoods.",Moroccan Hammam Tradition,Morocco,"Nationwide; especially Fez, Marrakech, Casablanca, Rabat",34.0181,-5.0078,Living hammam tradition; many historic medina hammams; not UNESCO ICH as standalone bath element,Medieval Islamic urban tradition continuing today,Living public bath culture,Medieval to present,Maghrebi hammam; neighbourhood steam bath,"Moroccan hammams remain a living weekly cleansing, social and wellness ritual, especially in old medinas and urban neighbourhoods.","The hammam has long served as essential infrastructure for purification, grooming, women’s sociability, family routines and neighbourhood life where private bathing was limited.","Important as a still-living form of Islamic public bathing and community care, not only as architecture.","Black soap savon beldi, kessa glove exfoliation, rhassoul clay, henna preparation, bridal hammam, family washing and gendered social time.",Changing room; cold/warm/hot rooms; steam; buckets; basins; kessa scrub; local attendants; wood or modern heating.,"Active, though drought and water restrictions have periodically affected opening days in some areas.",Active public bathhouse tradition,"Yes. Still widely used, though schedules can vary due to water restrictions.","Local hammams can be very inexpensive, often MAD 10-50 for entry; tourist hammams with treatment packages may range from MAD 200-900+.",MAD,10,900,Wide range from local entry to tourist treatment package; verify individual hammam.,https://www.visitmorocco.com/ | https://apnews.com/article/ce9daf66af854f93bd1123b98018c7f4,2026-07-03,Medium,https://en.wikipedia.org/wiki/Hammam | https://en.wikipedia.org/wiki/Architecture_of_Fez | https://apnews.com/article/ce9daf66af854f93bd1123b98018c7f4,morocco; hammam; maghreb; kessa; black soap; living tradition
bath-028,living_bathhouse_tradition,Historic Hammams of Fez,Active country-level tradition,Marinid/Maghrebi hammams,Historic Hammams of Fez,Partly. Some historic hammams in Fez continue public bath use; others are restored or limited access.,"Fez preserves numerous historic hammams, several still tied to neighbourhood life inside the UNESCO-listed medina.",Historic Hammams of Fez,Morocco,Fez medina,34.0614,-4.9844,Medina of Fez UNESCO World Heritage context; historic hammams within the living medina,Fez UNESCO listed 1981; many hammams 14th century,Heritage hammam cluster within living city,14th century and later,Marinid/Maghrebi hammams,"Fez preserves numerous historic hammams, several still tied to neighbourhood life inside the UNESCO-listed medina.","Medina hammams were often linked to mosque endowments and built near water sources, forming part of the daily infrastructure of Islamic urban life.","Important for the rare survival of a dense network of medieval urban bathhouses, some continuing to serve residents.","Neighbourhood steam bathing, kessa scrubbing, women’s gathering, pre-wedding preparation, washing before religious/social occasions.",Hammam al-Mokhfiya; Hammam Ben Abbad; Hammam as-Saffarin; changing/warm/hot rooms; zellij/stucco decoration.,"Some restored, some active, some heritage/interpreted; access varies by bath.",Mixed: active local hammams + heritage/restored sites,Partly. Some historic hammams in Fez continue public bath use; others are restored or limited access.,Local hammam entry often MAD 10-50; guided heritage access or spa packages vary widely.,MAD,10,250,Indicative local/public entry plus possible guided/restored-site variation.,https://whc.unesco.org/en/list/170/ | https://en.wikipedia.org/wiki/Architecture_of_Fez,2026-07-03,Low,https://whc.unesco.org/en/list/170/ | https://en.wikipedia.org/wiki/Architecture_of_Fez | https://en.wikipedia.org/wiki/Hammam_Ben_Abbad,morocco; fez; medina; hammam; unesco context
bath-029,living_bathhouse_tradition,Abanotubani Sulfur Baths,Active country-level tradition,Sulfur bath; Persian/Ottoman-style domed bathhouse,Abanotubani Sulfur Baths,Yes. Several bathhouses remain usable.,"Tbilisi’s bath district is a living landscape of sulphur bathing, city legend and urban identity.",Abanotubani Sulfur Baths,Georgia,Tbilisi,41.688,44.811,Historic bath district within Old Tbilisi heritage context; not UNESCO-listed,Medieval references; Tbilisi founding legend tied to hot springs,Active heritage bath district,Medieval to present,Sulfur bath; Persian/Ottoman-style domed bathhouse,"Tbilisi’s bath district is a living landscape of sulphur bathing, city legend and urban identity.","According to the city’s founding legend, hot springs discovered by King Vakhtang Gorgasali led to Tbilisi’s establishment; the bath district later became a crossroads of Persian, Georgian and Russian travel writing.","Important as a still-active geothermal bath quarter where public bathing is tied directly to the city’s name, story and topography.","Sulfur soaking, private-room bathing, kisi scrub, tea/rest, social visits and restorative use of mineral water.",Brick domes; underground bath rooms; mineral sulphur pools; private rooms; mosaic Orbeliani Bath facade.,Active bath district with public/private bath options.,Active historic bath district,Yes. Several bathhouses remain usable.,Public/shared entry and private rooms vary widely; expect roughly GEL 10-200+ depending on shared bath/private room and services.,GEL,10,200,Indicative range for shared/public entry to private room rental; verify individual bathhouse.,https://georgia.travel/ | https://en.wikipedia.org/wiki/Abanotubani,2026-07-03,Low,https://en.wikipedia.org/wiki/Abanotubani,georgia; tbilisi; sulfur baths; active heritage bath district
bath-030,living_bathhouse_tradition,Russian Banya Tradition,Active country-level tradition,Banya; wet steam bath; communal bathhouse,Russian Banya Tradition,Yes. Widely used.,"The Russian banya is a living steam-bath tradition centred on heat, washing, venik branch massage and social rest.",Russian Banya Tradition,Russia,Nationwide; especially Moscow and St Petersburg,55.7558,37.6173,Living steam-bath tradition; not UNESCO-listed,Medieval/early modern Slavic bathing tradition to present,Living steam bath culture,Medieval to present,Banya; wet steam bath; communal bathhouse,"The Russian banya is a living steam-bath tradition centred on heat, washing, venik branch massage and social rest.","Banyas served hygiene, health, hospitality and ritual functions in homes, villages and cities; urban bathhouses remain social institutions.",Important as one of Eurasia’s major public steam-bath traditions and a continuing civic/social practice.,"Parenie steam bathing, venik birch/oak whisk massage, cold plunge or snow rub, tea or kvass after bathing, alternating heat and cold.",Steam room; washing hall; plunge pool; rest room; venik bundles; private cabins or communal classes.,"Active in public bathhouses and private banyas, with luxury and local options.",Active public bathhouse tradition,Yes. Widely used.,"Local/public banyas vary; notable historic baths and private cabins can range from RUB 2,000-10,000+.",RUB,2000,10000,Indicative adult session range from public class to premium historic/private banya.,https://sanduny.ru/en/ | https://en.wikipedia.org/wiki/Banya_(sauna),2026-07-03,Low,https://sanduny.ru/en/ | https://en.wikipedia.org/wiki/Banya_(sauna),russia; banya; venik; steam bath; living tradition
bath-031,living_bathhouse_tradition,Sanduny Baths,Active country-level tradition,Urban Russian banya,Sanduny Baths,Yes. Still used for banya bathing.,"Moscow’s most famous historic banya, still operating as a public bath complex.",Sanduny Baths,Russia,Moscow,55.7678,37.6232,Historic Moscow bathhouse; active public banya,Founded 1808; current historic interiors 19th century,Active heritage banya,1808 to present,Urban Russian banya,"Moscow’s most famous historic banya, still operating as a public bath complex.","Sanduny became a symbol of Moscow bath culture, combining public bathing, theatrical interiors and elite/popular urban sociability.",Important as a rare active historic Russian bathhouse with continuity of use.,"Communal steam, venik treatments, cold plunge, rest, food/drink after bathing.",Men’s and women’s classes; ornate historic halls; steam rooms; plunge pools; private rooms.,Active bathhouse with public and premium services.,Active historic public bathhouse,Yes. Still used for banya bathing.,"Public class tickets and services vary; expect roughly RUB 2,500-8,000+ depending on class/service.",RUB,2500,8000,Indicative public-class and service range; verify official price list.,https://sanduny.ru/en/,2026-07-03,Medium,https://sanduny.ru/en/,moscow; sanduny; banya; active heritage bathhouse
bath-032,living_bathhouse_tradition,Sauna Culture in Finland,Active country-level tradition,Finnish sauna; public/private sauna,Sauna Culture in Finland,Yes. Public saunas are widely used.,"Finnish sauna culture is a nationally embedded heat, steam and washing ritual practiced in homes, public saunas, workplaces and lakeside cabins.",Sauna Culture in Finland,Finland,"Nationwide; exemplar public saunas in Helsinki, Tampere and lake regions",60.1699,24.9384,UNESCO Representative List of the Intangible Cultural Heritage of Humanity,2020,UNESCO intangible cultural heritage; living sauna culture,Ancient vernacular tradition to present,Finnish sauna; public/private sauna,"Finnish sauna culture is a nationally embedded heat, steam and washing ritual practiced in homes, public saunas, workplaces and lakeside cabins.","Sauna has served hygiene, healing, birth, hospitality, seasonal ritual and social equality; today public saunas are part of everyday urban and rural life.","Internationally important as a UNESCO-recognized living tradition of wellbeing, community and continuity.","Löyly steam from water on stones, birch vihta/vasta whisking, silence or conversation, cooling in lake/sea/snow, Saturday sauna, egalitarian nudity or swimwear depending on setting.",Wood or electric sauna; stove and stones; benches; changing/washing spaces; cold plunge/lake access; public urban saunas.,Highly active; public saunas are common and culturally important.,Active public and private sauna tradition,Yes. Public saunas are widely used.,Public sauna sessions in Helsinki commonly range around EUR 10-25; premium experiences can be higher.,EUR,10,25,Indicative public sauna session range; verify specific sauna.,https://ich.unesco.org/en/RL/sauna-culture-in-finland-01596 | https://www.myhelsinki.fi/,2026-07-03,Medium,https://ich.unesco.org/en/RL/sauna-culture-in-finland-01596 | https://en.wikipedia.org/wiki/Finnish_sauna,finland; sauna; unesco intangible heritage; löyly; living tradition
bath-033,living_bathhouse_tradition,Smoke Sauna Tradition in Võromaa,Active country-level tradition,Estonian smoke sauna; suitsusaun/savvusann,Smoke Sauna Tradition in Võromaa,"Yes, though often private/family-based or booked as a rural experience rather than walk-in public bath.","Võromaa’s smoke sauna is a living family and community ritual based on chimneyless sauna heating, smoke, washing and oral traditions.",Smoke Sauna Tradition in Võromaa,Estonia,"Võrumaa, southern Estonia",57.844,27.019,UNESCO Representative List of the Intangible Cultural Heritage of Humanity,2014,UNESCO intangible cultural heritage; smoke sauna tradition,Ancient smoke-sauna tradition to present,Estonian smoke sauna; suitsusaun/savvusann,"Võromaa’s smoke sauna is a living family and community ritual based on chimneyless sauna heating, smoke, washing and oral traditions.","The smoke sauna is heated for hours with wood smoke, aired, cleaned and then used for bathing, healing, family gatherings and seasonal rites.","Important as a UNESCO-recognized, region-specific sauna heritage where the ritual knowledge is as important as the building.","Heating and airing the smoke sauna, washing, whisking, healing practices, storytelling, birth/death/family rites, seasonal use.",Chimneyless timber sauna; soot-darkened interior; stone stove; washing vessels; rural farm setting.,Active mainly in private/family and heritage tourism contexts in southern Estonia.,Active living sauna tradition,"Yes, though often private/family-based or booked as a rural experience rather than walk-in public bath.","Public/rural smoke sauna experiences vary widely, roughly EUR 15-60+ per person or more for private group rental.",EUR,15,60,Indicative experience range; verify local providers.,https://ich.unesco.org/en/RL/smoke-sauna-tradition-in-vromaa-00951,2026-07-03,Low,https://ich.unesco.org/en/RL/smoke-sauna-tradition-in-vromaa-00951 | https://en.wikipedia.org/wiki/Sauna,estonia; smoke sauna; võromaa; unesco intangible heritage
bath-034,living_bathhouse_tradition,Icelandic Public Pool and Geothermal Bathing Culture,Active country-level tradition,Geothermal public pool; hot pot; steam bath,Icelandic Public Pool and Geothermal Bathing Culture,Yes. Public pools and geothermal baths are widely used.,"Iceland’s public pools and hot pots function as everyday social infrastructure, combining swimming, soaking, weather, hygiene and conversation.",Icelandic Public Pool and Geothermal Bathing Culture,Iceland,Nationwide; especially Reykjavík municipal pools and geothermal lagoons,64.1466,-21.9426,Living public bathing/swimming culture; not UNESCO-listed,20th-century municipal pool culture layered onto geothermal bathing traditions,Living public pool and hot-pot culture,"20th century to present, with older geothermal bathing traditions",Geothermal public pool; hot pot; steam bath,"Iceland’s public pools and hot pots function as everyday social infrastructure, combining swimming, soaking, weather, hygiene and conversation.",Mandatory swimming education and geothermal energy helped turn pools into a national social habit; locals use hot tubs as informal public living rooms.,"Important as a contemporary living bathing culture where public access, geothermal water and civic life meet.","Thorough naked shower before entry, outdoor swimming in all weather, hot-pot conversation, cold plunge, steam rooms, family swimming routines.",Outdoor pools; hot pots; lap pools; steam rooms; cold tubs; geothermal beach/lagoons.,"Highly active; municipal pools are affordable, while tourist lagoons are much more expensive.",Active public bathing/swimming tradition,Yes. Public pools and geothermal baths are widely used.,"Reykjavík municipal pools are often under ISK 1,500 for adults; tourist lagoons can cost ISK 7,000-15,000+.",ISK,1330,15000,Municipal adult entry to tourist geothermal lagoon range; verify official pool/lagoon rates.,https://reykjavik.is/en/swimming-pools | https://www.bluelagoon.com/,2026-07-03,Medium,https://reykjavik.is/en/swimming-pools | https://www.visiticeland.com/,iceland; geothermal; public pools; hot pots; living tradition
bath-035,living_bathhouse_tradition,Beitou Public Hot Springs,Active country-level tradition,Japanese-influenced public hot-spring bath culture,Beitou Public Hot Springs,"Yes. The old museum building is not used for bathing, but public hot-spring bathing continues nearby.","Beitou links Japanese colonial bathhouse architecture, Taiwanese hot-spring tourism and active public soaking culture.",Beitou Public Hot Springs,Taiwan,"Beitou, Taipei",25.1369,121.507,Historic hot-spring district; Beitou Hot Spring Museum is a protected heritage building; active public baths nearby,Japanese colonial-era public bath opened 1913; hot-spring use continues,Active hot-spring district with heritage museum,1913 to present,Japanese-influenced public hot-spring bath culture,"Beitou links Japanese colonial bathhouse architecture, Taiwanese hot-spring tourism and active public soaking culture.","The former public bath is now the Beitou Hot Spring Museum, while surrounding public and private baths continue the district’s bathing life.",Important as a cross-cultural hot-spring landscape connecting Japanese onsen practice and Taiwanese urban leisure.,"Public soaking, hot/cold water alternation, gendered or swimsuit-required rules depending on facility, post-bath food and walks through thermal valley.",Beitou Hot Spring Museum; public Millennium Hot Spring; private bathhouses; thermal valley; sulphur spring water.,Museum building is heritage/interpreted; public bathing is active in adjacent facilities.,Heritage museum + active public hot springs nearby,"Yes. The old museum building is not used for bathing, but public hot-spring bathing continues nearby.","Beitou public hot-spring entry can be low-cost, roughly TWD 40-100 for municipal-style facilities; private rooms/spas cost more.",TWD,40,100,Indicative public bath entry; verify Taipei public facility rates.,https://hotspringmuseum.taipei/ | https://www.travel.taipei/,2026-07-03,Medium,https://hotspringmuseum.taipei/ | https://www.travel.taipei/,taiwan; beitou; hot springs; japanese colonial heritage
bath-036,living_bathhouse_tradition,Yangzhou Bathhouse Culture,Active country-level tradition,Chinese public bathhouse; bath-and-leisure complex,Yangzhou Bathhouse Culture,Yes. Usable public bathhouses and bath-leisure complexes operate.,"Yangzhou is famous for bathhouse culture that combines soaking, scrubbing, massage, tea, food and leisure.",Yangzhou Bathhouse Culture,China,"Yangzhou, Jiangsu Province",32.3942,119.4127,Living regional bathhouse culture; not UNESCO-listed,Longstanding Jiangnan bathing culture; modern bathhouses active,Living public bath and leisure culture,Imperial/late imperial to present,Chinese public bathhouse; bath-and-leisure complex,"Yangzhou is famous for bathhouse culture that combines soaking, scrubbing, massage, tea, food and leisure.","Bathing in Yangzhou developed as a refined urban habit tied to canal prosperity, service trades and the phrase “morning tea, evening bath.”",Important as one of China’s most recognizable surviving regional public-bath cultures.,"Back scrubbing, foot massage, tea, food, lounging, social/business meetings, “morning tea and evening bath” leisure rhythm.",Bath pools; scrub rooms; massage; rest halls; tea/food service; modern wellness complexes.,"Active in modern bathhouse and spa complexes, though historical forms are modernized.",Active public bathhouse tradition,Yes. Usable public bathhouses and bath-leisure complexes operate.,"Local bathhouse entry varies, roughly CNY 50-200+ depending on facility and services.",CNY,50,200,Indicative bathhouse entry/service range; verify individual operators.,https://www.travelchinaguide.com/cityguides/jiangsu/yangzhou/ | https://en.wikipedia.org/wiki/Public_bathing,2026-07-03,Low,https://en.wikipedia.org/wiki/Public_bathing,china; yangzhou; public bath; bathhouse culture; living tradition
bath-037,living_bathhouse_tradition,Széchenyi Thermal Bath,Active country-level tradition,Neo-Baroque medicinal thermal bath,Széchenyi Thermal Bath,Yes. Still used daily for bathing.,One of Europe’s largest and most iconic active thermal-bath complexes.,Széchenyi Thermal Bath,Hungary,Budapest,47.5187,19.081,Historic thermal bath within Budapest spa culture; Budapest is not listed solely for baths but has protected spa heritage,Opened 1913,Active heritage thermal bath,1913 to present,Neo-Baroque medicinal thermal bath,One of Europe’s largest and most iconic active thermal-bath complexes.,"Built over deep artesian thermal wells, Széchenyi turned Budapest’s mineral waters into a monumental public leisure and health landscape.","Important as a still-used urban thermal bath where medicinal bathing, social recreation and architectural spectacle converge.","Thermal soaking, outdoor winter bathing, pool chess, sauna/steam cycles, medicinal water culture and social bathing.",Outdoor thermal pools; indoor medicinal pools; saunas; steam rooms; Neo-Baroque architecture.,Active major public bath and tourist destination.,Active historic thermal bath,Yes. Still used daily for bathing.,"Adult day tickets often range roughly HUF 10,000-15,000+ depending on day/cabin/locker and packages.",HUF,10000,15000,Indicative adult ticket range; verify official Budapest Spas tariff.,https://www.szechenyibath.hu/,2026-07-03,Medium,https://www.szechenyibath.hu/ | https://en.wikipedia.org/wiki/Sz%C3%A9chenyi_thermal_bath,hungary; budapest; thermal bath; active heritage
bath-038,living_bathhouse_tradition,Harrogate Turkish Baths,Active country-level tradition,Victorian Turkish bath; spa-town hydrotherapy,Harrogate Turkish Baths,Yes. Still used for Turkish bath sessions.,England’s most complete still-operating Victorian Turkish bath experience.,Harrogate Turkish Baths,United Kingdom,"Harrogate, North Yorkshire, England",53.9921,-1.5418,Grade II listed; operational Victorian Turkish baths,Opened 1897; restored 2000s,Active heritage Turkish/Victorian bath,1897 to present,Victorian Turkish bath; spa-town hydrotherapy,England’s most complete still-operating Victorian Turkish bath experience.,"Built as part of Harrogate’s Royal Baths, it reflects the Victorian adaptation of hot-air Turkish/Roman bathing into spa-town medicine and leisure.","Important as a rare, operational survival of British Victorian bath culture.","Dry heat rooms of increasing temperature, steam, plunge/cooling, relaxation, spa treatments and historic mineral-spa associations.",Moorish-style arches; glazed brickwork; hot rooms; steam room; plunge pool; cooling room.,Active public spa facility within restored heritage interiors.,Active historic public bathhouse,Yes. Still used for Turkish bath sessions.,Adult sessions commonly range around GBP 25-45 depending on time/package; treatments extra.,GBP,25,45,Indicative adult Turkish bath session range; verify official rates.,https://www.turkishbathsharrogate.co.uk/,2026-07-03,Medium,"https://www.turkishbathsharrogate.co.uk/ | https://en.wikipedia.org/wiki/Victorian_Turkish_baths,_Harrogate",uk; harrogate; victorian turkish bath; active heritage
bath-039,living_bathhouse_tradition,El Bañuelo,Active country-level tradition,Andalusi hammam,El Bañuelo,"No. Preserved for heritage visits, not bathing.","One of the best-preserved medieval Islamic bathhouses in Spain, now a heritage site rather than an active bath.",El Bañuelo,Spain,"Granada, Andalusia",37.1781,-3.5924,Historic Andalusi hammam; monument in Granada; within wider Islamic Granada heritage context,11th-12th century,Heritage bathhouse museum,11th or 12th century,Andalusi hammam,"One of the best-preserved medieval Islamic bathhouses in Spain, now a heritage site rather than an active bath.",El Bañuelo served Granada’s Muslim community before Christian conquest transformed or ended many hammams; its survival shows the everyday urban infrastructure of al-Andalus.,Important as rare material evidence of medieval Islamic public bathing in Iberia.,"Historically linked to ghusl purification, social bathing, gendered hours, hygiene and neighbourhood life; today interpreted through heritage visits.",Star-shaped skylights; cold/warm/hot rooms; brick vaults; horseshoe arches.,Preserved as a monument/visitor attraction.,"Heritage monument, not active for bathing","No. Preserved for heritage visits, not bathing.",Monument admission may be free or low-cost depending on ticket bundle; use official Granada monument pricing before publication.,EUR,0,10,Indicative heritage admission only; not bathing.,https://www.alhambra-patronato.es/,2026-07-03,Low,https://en.wikipedia.org/wiki/El_Ba%C3%B1uelo,spain; granada; andalusi hammam; heritage monument
bath-040,living_bathhouse_tradition,Hammam Al Ándalus Contemporary Revival,Active country-level tradition,Neo-Andalusi hammam spa,Hammam Al Ándalus Contemporary Revival,Yes. Used for bathing/spa rituals.,Spain has seen a revival of public hammam experiences that reinterpret Andalusi bath culture for locals and visitors.,Hammam Al Ándalus Contemporary Revival,Spain,"Granada, Córdoba, Madrid and other cities",37.1773,-3.5986,Contemporary revival inspired by Andalusi hammam heritage; not UNESCO-listed,Late 20th/21st-century revival drawing on medieval al-Andalus,Contemporary public bath revival,"Contemporary, inspired by 8th-15th c. al-Andalus",Neo-Andalusi hammam spa,Spain has seen a revival of public hammam experiences that reinterpret Andalusi bath culture for locals and visitors.,"After centuries of disappearance of Islamic public baths, contemporary operators reopened hammam-style bath spaces in historic cities, linking wellness tourism to al-Andalus memory.","Important for showing how bathhouse heritage can be revived as a modern public ritual, though not identical to medieval use.","Circuit bathing, warm/hot/cold pools, mint tea, massage, quiet relaxation, aromatherapy, tourist and local wellness use.",Thermal pools; steam rooms; Andalusi decorative motifs; massage rooms; tea lounge.,Active commercial bathhouses; heritage-inspired rather than original medieval hammams.,Active contemporary hammam-inspired public bath,Yes. Used for bathing/spa rituals.,Typical hammam circuit sessions often range EUR 40-90+ depending on city and package.,EUR,40,90,Indicative hammam circuit price; verify operator/city.,https://granada.hammamalandalus.com/en/,2026-07-03,Medium,https://granada.hammamalandalus.com/en/ | https://en.wikipedia.org/wiki/Hammam,spain; hammam revival; al-andalus; public bath
bath-041,living_bathhouse_tradition,Bukhara Historic Hammams,Active country-level tradition,Central Asian hammam,Bukhara Historic Hammams,Partly. Some Bukhara hammams operate as bath/spa experiences; verify current status.,"Bukhara’s old city includes historic hammams that reflect Silk Road urban hygiene, trade and social life.",Bukhara Historic Hammams,Uzbekistan,Bukhara,39.7681,64.4556,Historic centre of Bukhara UNESCO World Heritage context; individual hammams under local protection,Bukhara UNESCO listed 1993; some hammams medieval/early modern,Heritage hammams in active historic city,Medieval to early modern,Central Asian hammam,"Bukhara’s old city includes historic hammams that reflect Silk Road urban hygiene, trade and social life.","Public baths served traders, residents and pilgrims in a desert city where water, heat and cleanliness had high civic value.","Important as Central Asian hammam heritage connected to caravan trade, Islamic urbanism and neighbourhood life.","Steam bathing, attendant scrub/massage, gendered use, traveler cleansing, tea/rest after bath.",Domed brick chambers; heated floors; massage platforms; old-city setting.,Some historic hammams are restored and may operate as bath/spa experiences; access varies.,Mixed: active/restored hammam + heritage city context,Partly. Some Bukhara hammams operate as bath/spa experiences; verify current status.,"Reported tourist hammam experiences vary, roughly UZS 100,000-400,000+ depending on treatment.",UZS,100000,400000,Indicative tourist hammam range; verify operator.,https://whc.unesco.org/en/list/602/,2026-07-03,Low,https://whc.unesco.org/en/list/602/ | https://en.wikipedia.org/wiki/Hammam,uzbekistan; bukhara; silk road; hammam; unesco context
bath-042,living_bathhouse_tradition,Baku Old City Hammams,Active country-level tradition,Caucasian/Islamic hammam,Baku Old City Hammams,Limited. Original historic hammams are generally heritage features; modern hammam services exist elsewhere.,"Historic hammams form part of Baku’s walled-city urban fabric, reflecting bath culture around the Caspian trade routes.",Baku Old City Hammams,Azerbaijan,"Baku, Icherisheher",40.3667,49.8333,Walled City of Baku UNESCO World Heritage Site context; historic hammams within site,UNESCO listed 2000,Heritage hammams in UNESCO old city,Medieval to early modern,Caucasian/Islamic hammam,"Historic hammams form part of Baku’s walled-city urban fabric, reflecting bath culture around the Caspian trade routes.","Bathhouses served residents and travelers in the walled city, combining hygiene, social gathering and Islamic purification.","Important as part of the ensemble of palaces, mosques, caravanserais and bathhouses in the UNESCO-listed old city.","Historically: steam bathing, washing before prayer, social visits, gendered bathing times; present use varies by site.",Hammam ruins/structures; domes; underground chambers; old city lanes.,"Mostly heritage/monument context, with some modern hammam/spa options in the city rather than original buildings.",Mostly heritage monument / limited original bathing use,Limited. Original historic hammams are generally heritage features; modern hammam services exist elsewhere.,"Old city access may be free/open; specific museums/sites and modern hammams vary, roughly AZN 10-100+.",AZN,10,100,Indicative heritage/modern spa range; verify site.,https://whc.unesco.org/en/list/958/,2026-07-03,Low,https://whc.unesco.org/en/list/958/,azerbaijan; baku; hammam; unesco; old city
bath-043,living_bathhouse_tradition,Iranian Hammam Tradition and Historic Bathhouses,Active country-level tradition,Persian hammam; bathhouse museum,Iranian Hammam Tradition and Historic Bathhouses,"Partly. Some public baths/spas exist, but many historic hammams are no longer used for bathing.","Iran’s historic hammams are richly decorated civic buildings, many now museums or cultural venues, while smaller public baths have declined.",Iranian Hammam Tradition and Historic Bathhouses,Iran,"Nationwide; exemplar Kashan, Kerman, Isfahan, Tehran",33.985,51.409,Many historic hammams nationally protected; not UNESCO ICH as bath tradition,Safavid/Qajar and earlier Islamic bathhouse traditions,Heritage bathhouses + reduced living use,Medieval to 20th century,Persian hammam; bathhouse museum,"Iran’s historic hammams are richly decorated civic buildings, many now museums or cultural venues, while smaller public baths have declined.","Persian bathhouses supported purification, grooming, barbering, social exchange and life-cycle rituals in neighbourhoods and caravan cities.","Important for architecture, tile/plaster decoration, urban water systems and social history.","Historically: ghusl purification, bride/groom baths, henna, massage, barbering, storytelling and neighbourhood gathering.",Domed hot rooms; sarbineh changing halls; tilework; painted plaster; heated floors; water reservoirs.,Many famous historic hammams are museums; living public bathing has declined due to private bathrooms.,"Mostly heritage museum, limited living public bath tradition","Partly. Some public baths/spas exist, but many historic hammams are no longer used for bathing.","Museum entry can be low-cost, often IRR-priced for domestic/foreign visitors; bathing costs vary and are not standardized.",IRR,,,Cost variable; official live prices difficult to generalize.,https://whc.unesco.org/ | https://en.wikipedia.org/wiki/Hammam,2026-07-03,Low,https://en.wikipedia.org/wiki/Hammam,iran; persian hammam; bathhouse museum; islamic urbanism
bath-044,living_bathhouse_tradition,Sultan Amir Ahmad Bathhouse,Active country-level tradition,Persian historic hammam,Sultan Amir Ahmad Bathhouse,No. It is visited as a monument.,"A richly decorated Kashan bathhouse famous for domes, tilework and painted plaster.",Sultan Amir Ahmad Bathhouse,Iran,Kashan,33.9829,51.4407,National heritage monument; museum/heritage attraction,"Safavid/Qajar era structure, restored in 20th century",Heritage bathhouse museum,16th century origins; later Qajar decoration,Persian historic hammam,"A richly decorated Kashan bathhouse famous for domes, tilework and painted plaster.",The bathhouse served a historic merchant city and demonstrates the sophistication of Persian bath architecture and climate-sensitive design.,"Important as a preserved example of Persian bathhouse design, social spaces and decorative arts.","Historically: cleansing, social visits, barbering, massage, pre-wedding washing, heat-room progression; today interpreted as heritage.",Domed roof with convex glass; sarbineh; hot chamber; turquoise and gold tilework; roofscape.,"Preserved as a visitor monument, not an active public bath.","Heritage museum, not active for bathing",No. It is visited as a monument.,Museum admission varies; use official Kashan/heritage pricing before live publication.,IRR,,,Heritage admission only; not bathing.,https://www.visitiran.ir/,2026-07-03,Low,https://www.visitiran.ir/ | https://en.wikipedia.org/wiki/Sultan_Amir_Ahmad_Bathhouse,iran; kashan; persian hammam; heritage monument
bath-045,living_bathhouse_tradition,Tunisian Hammam Tradition,Active country-level tradition,Maghrebi hammam,Tunisian Hammam Tradition,"Yes. Public hammams are still used, with local and spa/tourist versions.","Tunisia retains a living hammam culture rooted in medina neighbourhood life, cleansing and preparation rituals.",Tunisian Hammam Tradition,Tunisia,"Nationwide; especially Tunis medina, Kairouan, Sousse",36.8065,10.1815,Living hammam tradition; historic medina hammams; not UNESCO ICH as standalone bath element,Medieval Islamic/Maghrebi tradition to present,Living public bath culture,Medieval to present,Maghrebi hammam,"Tunisia retains a living hammam culture rooted in medina neighbourhood life, cleansing and preparation rituals.","Hammams supported hygiene, religious purification and women’s social life in dense urban quarters.",Important as part of North African Islamic bathing culture and gendered public social space.,"Kessa scrubbing, black soap, steam, henna/bridal preparation, women’s gatherings, bathing before holidays.",Steam rooms; washing buckets; hot/warm/cool rooms; attendants; medina bathhouses.,"Active, though the number and condition of historic public hammams varies by city.",Active public bathhouse tradition,"Yes. Public hammams are still used, with local and spa/tourist versions.","Local hammam entry may be low-cost, roughly TND 5-20; spa packages much higher.",TND,5,20,Indicative local entry; verify individual facility.,https://www.discovertunisia.com/ | https://en.wikipedia.org/wiki/Hammam,2026-07-03,Low,https://en.wikipedia.org/wiki/Hammam,tunisia; hammam; maghreb; living tradition
